Station_ID        Label   Longitude     Latitude             East            North               Up
       128         C128 116.7622932 -26.82623597   -214.222069862   -167.742012042     -0.005811172
       129         C129 116.7617214 -26.82541223   -271.064948648    -76.472065173     -0.006216663
       130         C130 116.7640445 -26.82718983    -40.130267011   -273.428709030     -0.006014501
       131         C131 116.7667126 -26.82415317    225.101310713     63.033655660     -0.004282434
       132         C132 116.7661493 -26.82672156    169.100514860   -221.545085600     -0.006105819
       133         C133 116.7668224 -26.82295559    236.018879266    195.726219226     -0.007381077
       134         C134 116.7653755 -26.82224409     92.183334881    274.562812706     -0.006602998
       135         C135 116.7616432 -26.82507543   -278.839456153    -39.154532786     -0.006211742
       136         C136 116.7675196 -26.82533617    305.321049983    -68.045340089     -0.007667539
       137         C137 116.7626337 -26.82301075   -180.379095748    189.615368099     -0.005380629
       138         C138 116.7647103 -26.82190813     26.055562733    311.787734822     -0.007709551
       139         C139 116.7631223 -26.82255216   -131.807994388    240.428079454     -0.005913780
       140         C140 116.7622778  -26.8258963   -215.753580929   -130.106333787     -0.004979884
       141         C141 116.7668197 -26.82653546    235.743063984   -200.926125756     -0.007533329
       142         C142 116.7642399 -26.82680215    -20.706373716   -230.473406330     -0.004217152
       143         C143 116.7661542 -26.82704072    169.587131857   -256.908276324     -0.007451316
       144         C144 116.7674227 -26.82443615    295.690772527     31.677799625     -0.006928481
       145         C145 116.7666547 -26.82590629    219.342164837   -131.213295508     -0.005124986
       146         C146 116.7661875 -26.82288295    172.903672190    203.775807434     -0.005612476
       147         C147 116.7669636 -26.82463374    250.051867265      9.785662939     -0.004905783
       148         C148 116.7644075 -26.82266232     -4.045991543    228.222957975     -0.004103545
       149         C149 116.7664854 -26.82271089    202.518192928    222.839742122     -0.007124000
       150         C150 116.7665177 -26.82374226    205.727275614    108.563125312     -0.004243872
       151         C151 116.7613343 -26.82451061   -309.548123948     23.427242409     -0.007549707
       152         C152 116.7612312 -26.82550191   -319.794357172    -86.409819766     -0.008599715
       153         C153 116.7686378 -26.82529022    416.478995404    -62.957222765     -0.013900505
       154         C154 116.7605929 -26.82579734   -383.245255607   -119.145462400     -0.012624288
       155         C155 116.7650951 -26.82117971     64.309238076    392.497057643     -0.012457246
       156         C156 116.7653222  -26.8280368     86.880338245   -367.273909786     -0.011215239
       157         C157 116.7627565 -26.82784591   -168.164433097   -346.123962679     -0.011650944
       158         C158  116.764037 -26.82792142    -40.875550663   -354.489478361     -0.010028067
       159         C159 116.7683599 -26.82601356    388.851093465   -143.102980144     -0.013458194
       160         C160 116.7609995 -26.82640912   -342.824375408   -186.930007448     -0.011959200
       161         C161 116.7640259 -26.82096612    -41.981515156    416.163075644     -0.013778617
       162         C162 116.7618694  -26.8227134   -256.358680718    222.560653567     -0.009049674
       163         C163 116.7676604 -26.82675263    319.313694354   -224.990572889     -0.011974456
       164         C164 116.7665496 -26.82770799    208.891155399   -330.842922390     -0.012039192
       165         C165 116.7686127 -26.82458774    413.986412163     14.878185851     -0.013443604
       166         C166 116.7653518 -26.82141498     89.827960311    366.428817577     -0.011207212
       167         C167 116.7659312 -26.82734683    147.419132855   -290.825233142     -0.008363952
       168         C168 116.7610827 -26.82372739   -334.561602426    110.207975065     -0.009725240
       169         C169 116.7677769 -26.82592112    330.896972040   -132.858902823     -0.009967823
       170         C170 116.7609614 -26.82337974   -346.620993999    148.727530627     -0.011154326
       171         C171 116.7661936 -26.82755908    173.502950093   -314.343037025     -0.010140648
       172         C172 116.7658204 -26.82776267    136.404447445   -336.900519459     -0.010396986
       173         C173 116.7645573 -26.82851292     10.845086132   -420.028103934     -0.013904301
       174         C174  116.767146  -26.8269159    268.178584756   -243.079829732     -0.010287889
       175         C175 116.7627073 -26.82148846   -173.064846426    358.286314014     -0.012456702
       176         C176 116.7613301 -26.82291113   -309.969991786    200.650820699     -0.010697884
       177         C177 116.7634317 -26.82799351   -101.045649191   -362.477447731     -0.011148103
       178         C178 116.7611987 -26.82487698   -323.026877424    -17.167172935     -0.008197637
       179         C179 116.7644733 -26.82135602      2.495222410    372.961947219     -0.010956026
       180         C180 116.7677047  -26.8235112    323.726615940    134.162272129     -0.009627519
       181         C181 116.7677574 -26.82414156    328.963669453     64.317772819     -0.008803469
       182         C182 116.7613807 -26.82344169   -304.938430947    141.864500125     -0.008869660
       183         C183  116.766763 -26.82156738    230.116737862    349.541010090     -0.013771149
       184         C184 116.7623196 -26.82792623   -211.594585225   -355.024137790     -0.013434482
       185         C185 116.7618808 -26.82684172   -255.216156476   -234.860357420     -0.009446997
       186         C186 116.7611495 -26.82416534   -327.919808388     61.682957907     -0.008723605
       187         C187 116.7678962 -26.82551428    342.757483271    -87.781028140     -0.009810402
       188         C188 116.7682371 -26.82470261    376.648225609      2.151671104     -0.011113890
       189         C189 116.7680438  -26.8233971    357.436691532    146.803727983     -0.011706092
       190         C190 116.7685012  -26.8241408    402.903952867     64.399837690     -0.013043595
       191         C191 116.7648745 -26.82773344     42.376643984   -333.661145649     -0.008908989
       192         C192 116.7614764 -26.82718221   -295.415247513   -272.587800317     -0.012688865
       193         C193 116.7637109 -26.82115804    -73.296043055    394.898060108     -0.012703022
       194         C194 116.7622888 -26.82736392   -214.657334923   -292.719783439     -0.010358225
       195         C195 116.7665419  -26.8218194    208.136490544    321.617393875     -0.011540461
       196         C196 116.7670628 -26.82233543    259.918423451    264.439934381     -0.010799971
       197         C197 116.7645424 -26.82761733      9.364025175   -320.795995343     -0.008112046
       198         C198 116.7682532 -26.82523962    378.246916578    -57.349499770     -0.011467107
       199         C199 116.7610607 -26.82257748   -336.752003571    237.618800790     -0.013330824
       200         C200  116.766963 -26.82528073    249.990802343    -61.901327764     -0.005197640
       201         C201 116.7634067 -26.82842181   -103.530396346   -409.933460514     -0.014074908
       202         C202 116.7637098   -26.827613    -73.401236231   -320.316437782     -0.008503034
       203         C203  116.760337  -26.8246924   -408.687567297      3.281950187     -0.013085520
       204         C204 116.7652939  -26.8283618     84.066924937   -403.284158283     -0.013362987
       205         C205 116.7608787 -26.82458576   -354.838401790     15.099372814     -0.009881686
       206         C206 116.7653751 -26.82768902     92.139166374   -328.739638598     -0.009176623
       207         C207 116.7659601 -26.82093591    150.300425254    419.509540029     -0.015630506
       208         C208 116.7655451 -26.82080717    109.044727008    433.774447071     -0.015750983
       209         C209 116.7660134 -26.82141401    155.598411538    366.535654841     -0.012477917
       210         C210  116.765662  -26.8215957    120.665123139    346.404654612     -0.010591504
       211         C211 116.7656703 -26.82117011    121.490688624    393.560323625     -0.013355375
       212         C212 116.7663145 -26.82120899    185.531457963    389.251613014     -0.014630027
       213         C213 116.7600867 -26.82541986   -433.566705894    -77.322011164     -0.015197118
       214         C214 116.7607958 -26.82543758   -363.076645815    -79.283176404     -0.010822127
       215         C215 116.7602056 -26.82500971   -421.748648337    -31.876672150     -0.014014400
       216         C216 116.7600324  -26.8258537   -438.962872403   -125.392009531     -0.016333436
