#obsid (GPS seconds), beam elevation [deg], beam azimuth [deg], lst [hours], delay settings 
1061316912,90.0,0.0,0.174,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1061317032,90.0,0.0,0.207,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1061317152,90.0,0.0,0.241,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1061317272,83.191,270.0,0.274,3;2;1;0;3;2;1;0;3;2;1;0;3;2;1;0
1061317400,83.191,270.0,0.31,3;2;1;0;3;2;1;0;3;2;1;0;3;2;1;0
1061317520,83.191,270.0,0.343,3;2;1;0;3;2;1;0;3;2;1;0;3;2;1;0
1061317640,83.191,270.0,0.376,3;2;1;0;3;2;1;0;3;2;1;0;3;2;1;0
1061317760,83.191,270.0,0.41,3;2;1;0;3;2;1;0;3;2;1;0;3;2;1;0
1061317888,83.191,270.0,0.446,3;2;1;0;3;2;1;0;3;2;1;0;3;2;1;0
1061318008,83.191,270.0,0.479,3;2;1;0;3;2;1;0;3;2;1;0;3;2;1;0
1061318128,83.191,270.0,0.512,3;2;1;0;3;2;1;0;3;2;1;0;3;2;1;0
1061318248,83.191,270.0,0.546,3;2;1;0;3;2;1;0;3;2;1;0;3;2;1;0
1061318376,83.191,270.0,0.581,3;2;1;0;3;2;1;0;3;2;1;0;3;2;1;0
1061318496,83.191,270.0,0.615,3;2;1;0;3;2;1;0;3;2;1;0;3;2;1;0
1061318616,83.191,270.0,0.648,3;2;1;0;3;2;1;0;3;2;1;0;3;2;1;0
1061318736,83.191,270.0,0.682,3;2;1;0;3;2;1;0;3;2;1;0;3;2;1;0
1061318864,83.191,270.0,0.717,3;2;1;0;3;2;1;0;3;2;1;0;3;2;1;0
1061318984,83.191,270.0,0.751,3;2;1;0;3;2;1;0;3;2;1;0;3;2;1;0
1061319104,76.284,270.0,0.784,6;4;2;0;6;4;2;0;6;4;2;0;6;4;2;0
1061319224,76.284,270.0,0.818,6;4;2;0;6;4;2;0;6;4;2;0;6;4;2;0
1061319352,76.284,270.0,0.853,6;4;2;0;6;4;2;0;6;4;2;0;6;4;2;0
1061319472,76.284,270.0,0.887,6;4;2;0;6;4;2;0;6;4;2;0;6;4;2;0
1061319592,76.284,270.0,0.92,6;4;2;0;6;4;2;0;6;4;2;0;6;4;2;0
1061319712,76.284,270.0,0.954,6;4;2;0;6;4;2;0;6;4;2;0;6;4;2;0
1061319840,76.284,270.0,0.989,6;4;2;0;6;4;2;0;6;4;2;0;6;4;2;0
1061319960,76.284,270.0,1.023,6;4;2;0;6;4;2;0;6;4;2;0;6;4;2;0
1061320080,76.284,270.0,1.056,6;4;2;0;6;4;2;0;6;4;2;0;6;4;2;0
1061320200,76.284,270.0,1.09,6;4;2;0;6;4;2;0;6;4;2;0;6;4;2;0
1061320328,76.284,270.0,1.125,6;4;2;0;6;4;2;0;6;4;2;0;6;4;2;0
1061320448,76.284,270.0,1.159,6;4;2;0;6;4;2;0;6;4;2;0;6;4;2;0
1061320568,76.284,270.0,1.192,6;4;2;0;6;4;2;0;6;4;2;0;6;4;2;0
1061320688,76.284,270.0,1.225,6;4;2;0;6;4;2;0;6;4;2;0;6;4;2;0
1061320816,76.284,270.0,1.261,6;4;2;0;6;4;2;0;6;4;2;0;6;4;2;0
1061320936,69.166,270.0,1.295,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
1061321056,69.166,270.0,1.328,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
1061321176,69.166,270.0,1.361,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
1061321304,69.166,270.0,1.397,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
1061321424,69.166,270.0,1.43,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
1061321544,69.166,270.0,1.464,9;6;3;0;9;6;3;0;9;6;3;0;9;6;3;0
